index	Best Available LIMS Path	Analysis ID	Owner	Project Name	Analysis Name	Created At	Analysis Link	FASTA Database	Input File Reference	Project ID	md5	LIMS_PK	LIMS_Project_id	LIMS_Project_name	LIMS_login	LIMS_user
10934	/lims/data_files/201004/Exudate_PBS_6h_A_1.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_1.RAW	370	0bac12372667eda5247807b03af05f1e	15787	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10935	/lims/data_files/201004/Exudate_PBS_6h_A_10.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_10.RAW	370	81f234ca2198ec4982585e80965e8ddf	15797	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10936	/lims/data_files/201004/Exudate_PBS_6h_A_11.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_11.RAW	370	6ff28d523820850d2b633a965c8bb695	15798	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10937	/lims/data_files/201004/Exudate_PBS_6h_A_12.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_12.RAW	370	287b36e72160cd68c290071fa459bfe3	15799	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10938	/lims/data_files/201004/Exudate_PBS_6h_A_13.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_13.RAW	370	e0548854ba0afe02dd36f82fd9715526	15800	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10939	/lims/data_files/201004/Exudate_PBS_6h_A_14.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_14.RAW	370	891487f6851d958c406bd4044885b56f	15801	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10940	/lims/data_files/201004/Exudate_PBS_6h_A_2.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_2.RAW	370	15d4486f213a5aa5ef07282bcf55136c	15788	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10941	/lims/data_files/201004/Exudate_PBS_6h_A_3.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_3.RAW	370	f228163b4d880d7b13aafdfbb9c63fea	15789	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10942	/lims/data_files/201004/Exudate_PBS_6h_A_3_2.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_3_2.RAW	370	235356cead9ff4427e3a78c804f40f3f	15790	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
10943	/lims/data_files/201004/Exudate_PBS_6h_A_4.RAW	4487	xuanwen	Exudate_Time_Course	Exudate_PBS_6h_A_1st_mascot	Sat Apr 17 19:22:19 -0400 2010	http://bioinf.itmat.upenn.edu/qInteract2/analysis/view/4487	IPI.MOUSE.v3.53.REV/ipi.MOUSE.3.53.rev.fasta	201004/Exudate_PBS_6h_A_4.RAW	370	c0572d9883f98cbf80e4f5a8bdaf80e5	15791	2846	Exudate_6h_A_1st	xuanwen	Xuanwen Li
